,dt,LandAverageTemperature,LandAndOceanAverageTemperature
2910,1992-07-01,14.139,17.000999999999998
2911,1992-08-01,13.765999999999998,16.900000000000002
2912,1992-09-01,11.672,16.243
2913,1992-10-01,9.353,15.419
2914,1992-11-01,5.888999999999999,14.343
2915,1992-12-01,4.075,13.902
2916,1993-01-01,3.301,13.896
2917,1993-02-01,3.745,14.085
2918,1993-03-01,5.922999999999999,14.725
2919,1993-04-01,8.69,15.482
2920,1993-05-01,11.475,16.230999999999998
2921,1993-06-01,13.518,16.859
2922,1993-07-01,14.595,17.155
2923,1993-08-01,13.835,16.926000000000002
2924,1993-09-01,11.93,16.381
2925,1993-10-01,9.614,15.543
2926,1993-11-01,5.7379999999999995,14.41
2927,1993-12-01,4.035,13.904000000000002
2928,1994-01-01,3.0239999999999996,13.731
2929,1994-02-01,2.81,13.773
2930,1994-03-01,5.731,14.713
2931,1994-04-01,9.018,15.584
2932,1994-05-01,11.684,16.348
2933,1994-06-01,14.144,17.021
2934,1994-07-01,14.658,17.183
2935,1994-08-01,13.977,17.035999999999998
2936,1994-09-01,12.515999999999998,16.498
2937,1994-10-01,10.002,15.743
2938,1994-11-01,6.787999999999999,14.754
2939,1994-12-01,4.113,14.036
2940,1995-01-01,3.54,13.945
2941,1995-02-01,4.656000000000001,14.388
2942,1995-03-01,5.956,14.783
2943,1995-04-01,8.972000000000001,15.587
2944,1995-05-01,11.57,16.279
2945,1995-06-01,14.164,17.008000000000006
2946,1995-07-01,15.116,17.375
2947,1995-08-01,14.636,17.297
2948,1995-09-01,12.565,16.580000000000002
2949,1995-10-01,10.106,15.748
2950,1995-11-01,6.761,14.713
2951,1995-12-01,4.123,13.951
2952,1996-01-01,2.862,13.720999999999998
2953,1996-02-01,4.0120000000000005,14.207
2954,1996-03-01,5.524,14.658
2955,1996-04-01,8.679,15.541
2956,1996-05-01,11.588,16.272000000000002
2957,1996-06-01,13.681,16.847
2958,1996-07-01,14.827,17.22
2959,1996-08-01,14.603,17.21
2960,1996-09-01,12.294,16.444000000000003
2961,1996-10-01,9.525,15.515999999999998
2962,1996-11-01,6.5470000000000015,14.607
2963,1996-12-01,4.325,14.053
2964,1997-01-01,3.165,13.818
2965,1997-02-01,3.766,14.178
2966,1997-03-01,6.0120000000000005,14.873
2967,1997-04-01,8.891,15.634
2968,1997-05-01,11.593,16.387999999999998
2969,1997-06-01,14.130999999999998,17.158
2970,1997-07-01,14.565,17.307000000000002
2971,1997-08-01,14.255999999999998,17.266000000000002
2972,1997-09-01,12.685,16.766000000000002
2973,1997-10-01,10.109,15.935
2974,1997-11-01,6.841,14.952
2975,1997-12-01,4.417,14.291
2976,1998-01-01,3.3520000000000003,14.063
2977,1998-02-01,4.8260000000000005,14.611
2978,1998-03-01,6.023,14.958
2979,1998-04-01,9.358,15.884
2980,1998-05-01,12.291,16.671
2981,1998-06-01,14.521,17.289
2982,1998-07-01,15.34,17.609
2983,1998-08-01,14.874,17.491
2984,1998-09-01,12.672999999999998,16.657
2985,1998-10-01,9.941,15.768
2986,1998-11-01,6.404,14.697
2987,1998-12-01,4.6690000000000005,14.214
2988,1999-01-01,3.5439999999999996,13.933
2989,1999-02-01,4.694,14.367
2990,1999-03-01,5.53,14.675999999999998
2991,1999-04-01,8.838,15.572
2992,1999-05-01,11.706,16.298
2993,1999-06-01,14.031,16.957
2994,1999-07-01,14.853,17.218
2995,1999-08-01,14.348,17.1
2996,1999-09-01,12.723,16.605
2997,1999-10-01,9.997,15.675
2998,1999-11-01,6.5920000000000005,14.673
2999,1999-12-01,4.565,14.13
3000,2000-01-01,2.95,13.773
3001,2000-02-01,4.184,14.265999999999998
3002,2000-03-01,6.218999999999999,14.845999999999998
3003,2000-04-01,9.552,15.762
3004,2000-05-01,11.874,16.395
3005,2000-06-01,14.06,17.0
3006,2000-07-01,14.848,17.242
3007,2000-08-01,14.519,17.243000000000002
3008,2000-09-01,12.547,16.613
3009,2000-10-01,9.486,15.588
3010,2000-11-01,6.312,14.632
3011,2000-12-01,3.863,13.968
3012,2001-01-01,3.3360000000000003,13.936
3013,2001-02-01,3.72,14.179
3014,2001-03-01,6.207999999999999,14.982
3015,2001-04-01,9.245,15.808
3016,2001-05-01,12.271,16.569000000000003
3017,2001-06-01,14.11,17.151
3018,2001-07-01,15.161,17.45
3019,2001-08-01,14.427,17.294
3020,2001-09-01,12.736,16.758
3021,2001-10-01,9.935,15.831
3022,2001-11-01,7.319,15.011
3023,2001-12-01,4.507,14.241
3024,2002-01-01,4.026,14.258
3025,2002-02-01,4.704,14.505
3026,2002-03-01,6.772,15.198
3027,2002-04-01,9.229,15.818
3028,2002-05-01,12.248,16.605
3029,2002-06-01,14.084,17.110000000000007
3030,2002-07-01,15.354,17.487000000000002
3031,2002-08-01,14.56,17.328
3032,2002-09-01,12.95,16.799
3033,2002-10-01,9.988,15.859000000000002
3034,2002-11-01,6.892,14.856
3035,2002-12-01,4.038,14.127
3036,2003-01-01,3.981,14.207
3037,2003-02-01,4.085,14.359000000000002
3038,2003-03-01,6.047999999999999,14.973
3039,2003-04-01,9.154,15.774
3040,2003-05-01,12.153,16.567
3041,2003-06-01,14.017,17.104000000000006
3042,2003-07-01,14.983,17.423000000000002
3043,2003-08-01,14.691,17.402
3044,2003-09-01,12.911,16.839000000000002
3045,2003-10-01,10.424,15.997
3046,2003-11-01,6.727,14.838
3047,2003-12-01,5.132999999999999,14.436
3048,2004-01-01,3.5250000000000004,14.097
3049,2004-02-01,4.4990000000000006,14.488
3050,2004-03-01,6.321000000000001,14.992
3051,2004-04-01,9.249,15.811
3052,2004-05-01,11.571,16.383
3053,2004-06-01,13.889,17.006
3054,2004-07-01,14.312,17.227
3055,2004-08-01,14.188,17.266000000000002
3056,2004-09-01,12.642,16.745
3057,2004-10-01,10.127,15.889
3058,2004-11-01,7.315,15.022
3059,2004-12-01,4.257,14.161
3060,2005-01-01,3.808,14.159
3061,2005-02-01,3.92,14.293
3062,2005-03-01,6.5440000000000005,15.106
3063,2005-04-01,9.618,15.978
3064,2005-05-01,12.226,16.629
3065,2005-06-01,14.476,17.248
3066,2005-07-01,15.19,17.503
3067,2005-08-01,14.51,17.375
3068,2005-09-01,13.217,16.903
3069,2005-10-01,10.601,16.025000000000002
3070,2005-11-01,7.422999999999999,15.005
3071,2005-12-01,4.878,14.327
3072,2006-01-01,3.286,13.99
3073,2006-02-01,4.43,14.435
3074,2006-03-01,6.3290000000000015,14.966
3075,2006-04-01,9.055,15.729
3076,2006-05-01,11.786,16.463
3077,2006-06-01,14.443,17.215999999999998
3078,2006-07-01,15.042,17.419
3079,2006-08-01,14.913,17.479
3080,2006-09-01,12.875,16.792
3081,2006-10-01,10.289,15.935
3082,2006-11-01,6.955,14.931
3083,2006-12-01,4.987,14.407
3084,2007-01-01,4.5790000000000015,14.417
3085,2007-02-01,4.221,14.408
3086,2007-03-01,6.485,15.017
3087,2007-04-01,9.823,15.93
3088,2007-05-01,12.518,16.629
3089,2007-06-01,14.309,17.168000000000006
3090,2007-07-01,15.23,17.485
3091,2007-08-01,14.752,17.339000000000002
3092,2007-09-01,12.93,16.737000000000002
3093,2007-10-01,10.332,15.867
3094,2007-11-01,7.0840000000000005,14.821
3095,2007-12-01,4.523,14.11
3096,2008-01-01,2.8440000000000003,13.719
3097,2008-02-01,3.576,14.061
3098,2008-03-01,6.906000000000001,15.077
3099,2008-04-01,9.295,15.735
3100,2008-05-01,12.053999999999998,16.497
3101,2008-06-01,14.145,17.077
3102,2008-07-01,15.174,17.449
3103,2008-08-01,14.377,17.282
3104,2008-09-01,12.802,16.757
3105,2008-10-01,10.399,15.931
3106,2008-11-01,7.224,14.919
3107,2008-12-01,4.385,14.151
3108,2009-01-01,3.687,14.091
3109,2009-02-01,4.093999999999999,14.267
3110,2009-03-01,6.086,14.873
3111,2009-04-01,9.367,15.819
3112,2009-05-01,12.111999999999998,16.570999999999998
3113,2009-06-01,14.201,17.26
3114,2009-07-01,15.231,17.578
3115,2009-08-01,14.655,17.427
3116,2009-09-01,13.153,16.864
3117,2009-10-01,10.136,15.91
3118,2009-11-01,7.031000000000001,14.968
3119,2009-12-01,4.31,14.298
3120,2010-01-01,3.737,14.207999999999998
3121,2010-02-01,4.399,14.517
3122,2010-03-01,6.7379999999999995,15.223
3123,2010-04-01,9.671,16.038999999999998
3124,2010-05-01,12.406,16.732
3125,2010-06-01,14.421,17.271
3126,2010-07-01,15.213,17.532
3127,2010-08-01,14.768,17.412
3128,2010-09-01,12.863,16.761
3129,2010-10-01,10.442,15.939
3130,2010-11-01,7.487,14.995
3131,2010-12-01,4.292,14.117
3132,2011-01-01,3.282,13.928
3133,2011-02-01,3.743,14.193
3134,2011-03-01,6.101,14.88
3135,2011-04-01,9.483,15.832
3136,2011-05-01,11.986,16.523
3137,2011-06-01,14.37,17.203000000000007
3138,2011-07-01,15.482,17.567999999999998
3139,2011-08-01,15.012,17.475
3140,2011-09-01,12.912,16.762
3141,2011-10-01,10.352,15.873
3142,2011-11-01,6.814,14.799
3143,2011-12-01,4.6549999999999985,14.198
3144,2012-01-01,3.157,13.859000000000002
3145,2012-02-01,3.628,14.164
3146,2012-03-01,6.023,14.863
3147,2012-04-01,9.675999999999998,15.880999999999998
3148,2012-05-01,12.59,16.698999999999998
3149,2012-06-01,14.492,17.252000000000002
3150,2012-07-01,15.076,17.45
3151,2012-08-01,14.72,17.42
3152,2012-09-01,13.04,16.882
3153,2012-10-01,10.428,16.019000000000002
3154,2012-11-01,7.1560000000000015,15.001
3155,2012-12-01,4.102,14.138
3156,2013-01-01,3.685,14.117
3157,2013-02-01,4.222,14.359000000000002
3158,2013-03-01,6.261,14.952
3159,2013-04-01,9.044,15.749
3160,2013-05-01,12.195,16.608999999999998
3161,2013-06-01,14.568,17.257
3162,2013-07-01,15.003,17.503
3163,2013-08-01,14.742,17.462
